state_label,n_windows,n_stocks,explosive_rate,gsadf_stat_mean,gsadf_stat_median,gsadf_excess_mean
wide_expanding,50,34,0.18,-0.7001675373420281,-1.0743048683999201,-1.1612874139221931
up_structure_high_pos,49,38,0.12244897959183673,-0.6674762672382559,-0.880330729081705,-1.1285961438184209
down_structure_low_pos,50,40,0.1,-0.7911834458341613,-1.0737950254820885,-1.2523033224143263
slow_extension,50,36,0.1,-1.1745669533407184,-1.20768506830559,-1.6356868299208835
upper_breakout,48,38,0.041666666666666664,-0.9169507066627217,-1.0731411675494749,-1.3780705832428868
fast_chop,49,34,0.04081632653061224,-1.2079942849983023,-1.35815090684173,-1.6691141615784675
lower_breakdown,49,38,0.02040816326530612,-1.2769325665918791,-1.26806427788798,-1.738052443172044
narrow_expanding,49,38,0.0,-1.4612452009383834,-1.5841853363246,-1.9223650775185483
