"window_id","n_obs","minw","lag","nrep","gsadf_stat","gsadf_cv95","gsadf_reject","error"
"w000089",60,50,1,499,-1.29331613492644,0.461119876580165,FALSE,""
"w000090",60,50,1,499,-1.00958859726705,0.461119876580165,FALSE,""
"w000091",60,50,1,499,-0.11369683572781,0.461119876580165,FALSE,""
"w000092",60,50,1,499,-1.63950354126319,0.461119876580165,FALSE,""
"w000094",60,50,1,499,-0.61669325534919,0.461119876580165,FALSE,""
"w000095",60,50,1,499,-0.20005317291972,0.461119876580165,FALSE,""
"w000096",60,50,1,499,-0.183496935137823,0.461119876580165,FALSE,""
"w000097",60,50,1,499,-0.382201526557708,0.461119876580165,FALSE,""
"w000098",60,50,1,499,-1.99588153509648,0.461119876580165,FALSE,""
"w000099",60,50,1,499,-1.33288203362164,0.461119876580165,FALSE,""
"w000100",60,50,1,499,0.0412230447969704,0.461119876580165,FALSE,""
"w000101",60,50,1,499,0.428234420083797,0.461119876580165,FALSE,""
"w000102",60,50,1,499,-1.89566664445094,0.461119876580165,FALSE,""
"w000103",60,50,1,499,0.0608524267224182,0.461119876580165,FALSE,""
"w000104",60,50,1,499,-0.756502979726999,0.461119876580165,FALSE,""
"w000105",60,50,1,499,0.576689120061542,0.461119876580165,TRUE,""
"w000106",60,50,1,499,-1.6718537856375,0.461119876580165,FALSE,""
"w000107",60,50,1,499,-0.845990477673923,0.461119876580165,FALSE,""
"w000108",60,50,1,499,0.532638518580521,0.461119876580165,TRUE,""
"w000109",60,50,1,499,-0.531934243366542,0.461119876580165,FALSE,""
"w000110",60,50,1,499,-2.82219992184602,0.461119876580165,FALSE,""
"w000111",60,50,1,499,0.521048167351825,0.461119876580165,TRUE,""
"w000112",60,50,1,499,-1.60769871599655,0.461119876580165,FALSE,""
"w000113",60,50,1,499,-1.40860847946824,0.461119876580165,FALSE,""
"w000114",60,50,1,499,-1.29500702033468,0.461119876580165,FALSE,""
"w000115",60,50,1,499,-1.91967653035603,0.461119876580165,FALSE,""
"w000116",60,50,1,499,-0.576598817673869,0.461119876580165,FALSE,""
"w000117",60,50,1,499,-1.28394321139794,0.461119876580165,FALSE,""
"w000118",60,50,1,499,0.623953881494225,0.461119876580165,TRUE,""
"w000119",60,50,1,499,0.566101977768769,0.461119876580165,TRUE,""
"w000120",60,50,1,499,-1.41082205958069,0.461119876580165,FALSE,""
"w000121",60,50,1,499,-0.205838316737987,0.461119876580165,FALSE,""
"w000122",60,50,1,499,-0.00117358790524608,0.461119876580165,FALSE,""
"w000123",60,50,1,499,-0.393105255345676,0.461119876580165,FALSE,""
"w000124",60,50,1,499,-0.967221476078371,0.461119876580165,FALSE,""
"w000125",60,50,1,499,-0.789738828739183,0.461119876580165,FALSE,""
"w000126",60,50,1,499,-0.475254327483191,0.461119876580165,FALSE,""
"w000127",60,50,1,499,1.07411465690831,0.461119876580165,TRUE,""
"w000128",60,50,1,499,-0.697923201263467,0.461119876580165,FALSE,""
"w000129",60,50,1,499,0.754584672800273,0.461119876580165,TRUE,""
"w000130",60,50,1,499,-1.36689819694197,0.461119876580165,FALSE,""
"w000131",60,50,1,499,-0.836496867578457,0.461119876580165,FALSE,""
"w000132",60,50,1,499,-0.284196768248605,0.461119876580165,FALSE,""
"w000133",60,50,1,499,-0.565907485318106,0.461119876580165,FALSE,""
"w000134",60,50,1,499,-0.0264937207168483,0.461119876580165,FALSE,""
"w000135",60,50,1,499,-0.76245602279133,0.461119876580165,FALSE,""
"w000136",60,50,1,499,0.0946403924703486,0.461119876580165,FALSE,""
"w000137",60,50,1,499,-1.72901340870793,0.461119876580165,FALSE,""
"w000138",60,50,1,499,-0.846100167457728,0.461119876580165,FALSE,""
"w000139",60,50,1,499,-0.922294725729571,0.461119876580165,FALSE,""
"w000140",60,50,1,499,-0.731205112312796,0.461119876580165,FALSE,""
"w000141",60,50,1,499,-1.11312020481664,0.461119876580165,FALSE,""
"w000142",60,50,1,499,-0.955974890406761,0.461119876580165,FALSE,""
"w000143",60,50,1,499,-1.38725086148576,0.461119876580165,FALSE,""
"w000144",60,50,1,499,-1.18900055443988,0.461119876580165,FALSE,""
"w000145",60,50,1,499,-1.37696031972893,0.461119876580165,FALSE,""
"w000146",60,50,1,499,-1.65509072773028,0.461119876580165,FALSE,""
"w000147",60,50,1,499,-0.604574770060244,0.461119876580165,FALSE,""
"w000148",60,50,1,499,-4.20480012330437,0.461119876580165,FALSE,""
"w000149",60,50,1,499,-1.22187469456652,0.461119876580165,FALSE,""
"w000150",60,50,1,499,-1.03477719003512,0.461119876580165,FALSE,""
"w000151",60,50,1,499,-0.949547668566148,0.461119876580165,FALSE,""
"w000152",60,50,1,499,-0.709467978929033,0.461119876580165,FALSE,""
"w000153",60,50,1,499,-1.5526917426838,0.461119876580165,FALSE,""
"w000154",60,50,1,499,-1.50841432073393,0.461119876580165,FALSE,""
"w000155",60,50,1,499,-1.56390874982328,0.461119876580165,FALSE,""
"w000156",60,50,1,499,-1.4989232453365,0.461119876580165,FALSE,""
"w000157",60,50,1,499,-0.936443246172274,0.461119876580165,FALSE,""
"w000158",60,50,1,499,-1.04248039240125,0.461119876580165,FALSE,""
"w000159",60,50,1,499,-2.0658087491807,0.461119876580165,FALSE,""
"w000160",60,50,1,499,0.641153863280371,0.461119876580165,TRUE,""
"w000161",60,50,1,499,-1.32032352951326,0.461119876580165,FALSE,""
"w000162",60,50,1,499,-1.30322823747219,0.461119876580165,FALSE,""
"w000163",60,50,1,499,-1.33544862122031,0.461119876580165,FALSE,""
"w000164",60,50,1,499,-1.7684776039151,0.461119876580165,FALSE,""
"w000165",60,50,1,499,-0.863906327509145,0.461119876580165,FALSE,""
"w000166",60,50,1,499,-0.792179908712907,0.461119876580165,FALSE,""
"w000167",60,50,1,499,-1.59955533608992,0.461119876580165,FALSE,""
"w000168",60,50,1,499,-1.30973193861645,0.461119876580165,FALSE,""
"w000169",60,50,1,499,-1.9041978162989,0.461119876580165,FALSE,""
"w000170",60,50,1,499,-0.211857312039544,0.461119876580165,FALSE,""
"w000171",60,50,1,499,-1.09550737758278,0.461119876580165,FALSE,""
"w000172",60,50,1,499,1.05525462158258,0.461119876580165,TRUE,""
"w000173",60,50,1,499,-1.16087956198778,0.461119876580165,FALSE,""
"w000174",60,50,1,499,-0.89508498776625,0.461119876580165,FALSE,""
"w000175",60,50,1,499,-0.799079166592102,0.461119876580165,FALSE,""
"w000176",60,50,1,499,0.629411200188293,0.461119876580165,TRUE,""
"w000177",60,50,1,499,-2.51252746898809,0.461119876580165,FALSE,""
"w000178",60,50,1,499,-0.795449856935627,0.461119876580165,FALSE,""
"w000179",60,50,1,499,-1.3268535934078,0.461119876580165,FALSE,""
"w000180",60,50,1,499,-0.592052341541774,0.461119876580165,FALSE,""
"w000181",60,50,1,499,0.0264328425851158,0.461119876580165,FALSE,""
"w000182",60,50,1,499,-1.97959671053761,0.461119876580165,FALSE,""
"w000183",60,50,1,499,-1.67445918604099,0.461119876580165,FALSE,""
"w000184",60,50,1,499,0.0846862816954122,0.461119876580165,FALSE,""
"w000185",60,50,1,499,-0.618131259879548,0.461119876580165,FALSE,""
"w000186",60,50,1,499,0.0653925783492055,0.461119876580165,FALSE,""
"w000187",60,50,1,499,-1.44556527497142,0.461119876580165,FALSE,""
"w000188",60,50,1,499,-0.792165467654693,0.461119876580165,FALSE,""
"w000189",60,50,1,499,0.0852299670145989,0.461119876580165,FALSE,""
"w000190",60,50,1,499,-1.18279056317209,0.461119876580165,FALSE,""
"w000191",60,50,1,499,-1.79720299265772,0.461119876580165,FALSE,""
"w000192",60,50,1,499,-1.26750962628646,0.461119876580165,FALSE,""
"w000193",60,50,1,499,-0.39892497908915,0.461119876580165,FALSE,""
"w000194",60,50,1,499,-0.806451327414529,0.461119876580165,FALSE,""
"w000195",60,50,1,499,-0.381912588052074,0.461119876580165,FALSE,""
"w000196",60,50,1,499,-1.6300118476242,0.461119876580165,FALSE,""
"w000197",60,50,1,499,-1.91616692111651,0.461119876580165,FALSE,""
"w000198",60,50,1,499,0.563803864236623,0.461119876580165,TRUE,""
"w000199",60,50,1,499,-0.0111912911522827,0.461119876580165,FALSE,""
"w000200",60,50,1,499,-0.117916321757842,0.461119876580165,FALSE,""
"w000201",60,50,1,499,1.43821603172997,0.461119876580165,TRUE,""
"w000202",60,50,1,499,0.404476229232576,0.461119876580165,FALSE,""
"w000203",60,50,1,499,0.361597416069477,0.461119876580165,FALSE,""
"w000204",60,50,1,499,-1.09611068668314,0.461119876580165,FALSE,""
"w000205",60,50,1,499,-1.89630119882763,0.461119876580165,FALSE,""
"w000206",60,50,1,499,-2.40641654426781,0.461119876580165,FALSE,""
"w000207",60,50,1,499,-0.917781421146587,0.461119876580165,FALSE,""
"w000208",60,50,1,499,2.04717842136771,0.461119876580165,TRUE,""
"w000209",60,50,1,499,-0.687920117332043,0.461119876580165,FALSE,""
"w000210",60,50,1,499,-1.25052787343767,0.461119876580165,FALSE,""
"w000211",60,50,1,499,-1.47658562342176,0.461119876580165,FALSE,""
"w000212",60,50,1,499,-1.54236251841632,0.461119876580165,FALSE,""
"w000213",60,50,1,499,-1.30784454974343,0.461119876580165,FALSE,""
"w000214",60,50,1,499,-2.86005864733068,0.461119876580165,FALSE,""
"w000215",60,50,1,499,0.274912069927981,0.461119876580165,FALSE,""
"w000216",60,50,1,499,-1.39625535179968,0.461119876580165,FALSE,""
"w000217",60,50,1,499,-0.297866777555698,0.461119876580165,FALSE,""
"w000218",60,50,1,499,-1.90392412989191,0.461119876580165,FALSE,""
"w000219",60,50,1,499,-1.2133164231532,0.461119876580165,FALSE,""
"w000220",60,50,1,499,-1.50250602616528,0.461119876580165,FALSE,""
"w000221",60,50,1,499,-3.40692248113024,0.461119876580165,FALSE,""
"w000222",60,50,1,499,-1.6370248836342,0.461119876580165,FALSE,""
"w000223",60,50,1,499,-1.48275919333027,0.461119876580165,FALSE,""
"w000224",60,50,1,499,-0.953045177413272,0.461119876580165,FALSE,""
"w000225",60,50,1,499,-1.21468622743184,0.461119876580165,FALSE,""
"w000226",60,50,1,499,-1.149074809123,0.461119876580165,FALSE,""
"w000227",60,50,1,499,-1.70416764324877,0.461119876580165,FALSE,""
"w000228",60,50,1,499,-0.520949399212935,0.461119876580165,FALSE,""
"w000229",60,50,1,499,-0.516403726835124,0.461119876580165,FALSE,""
"w000230",60,50,1,499,-2.16015352219546,0.461119876580165,FALSE,""
"w000231",60,50,1,499,-1.42202313944409,0.461119876580165,FALSE,""
"w000232",60,50,1,499,-0.036155949386013,0.461119876580165,FALSE,""
"w000233",60,50,1,499,-0.845133777226804,0.461119876580165,FALSE,""
"w000234",60,50,1,499,-1.69103961668622,0.461119876580165,FALSE,""
"w000235",60,50,1,499,-0.0216908001170204,0.461119876580165,FALSE,""
"w000236",60,50,1,499,-1.39991555100172,0.461119876580165,FALSE,""
"w000237",60,50,1,499,-2.20175663206335,0.461119876580165,FALSE,""
"w000238",60,50,1,499,-2.46154218033757,0.461119876580165,FALSE,""
"w000239",60,50,1,499,-1.75362632504576,0.461119876580165,FALSE,""
"w000240",60,50,1,499,-1.55160309896272,0.461119876580165,FALSE,""
"w000241",60,50,1,499,-1.32531086860784,0.461119876580165,FALSE,""
"w000242",60,50,1,499,-1.4470903099694,0.461119876580165,FALSE,""
"w000243",60,50,1,499,-1.77336798930544,0.461119876580165,FALSE,""
"w000244",60,50,1,499,-1.38087636898603,0.461119876580165,FALSE,""
"w000245",60,50,1,499,-1.5347321176852,0.461119876580165,FALSE,""
"w000246",60,50,1,499,-1.1180354684179,0.461119876580165,FALSE,""
"w000247",60,50,1,499,-0.707639450043758,0.461119876580165,FALSE,""
"w000248",60,50,1,499,-1.62851245211209,0.461119876580165,FALSE,""
"w000249",60,50,1,499,-0.872103701425029,0.461119876580165,FALSE,""
"w000250",60,50,1,499,-2.5263045551301,0.461119876580165,FALSE,""
"w000251",60,50,1,499,-0.61669325534919,0.461119876580165,FALSE,""
"w000252",60,50,1,499,-0.618155520350415,0.461119876580165,FALSE,""
"w000253",60,50,1,499,1.96280295084132,0.461119876580165,TRUE,""
"w000254",60,50,1,499,-1.29128891111357,0.461119876580165,FALSE,""
"w000255",60,50,1,499,-1.597995020166,0.461119876580165,FALSE,""
"w000256",60,50,1,499,-0.540272030250767,0.461119876580165,FALSE,""
"w000257",60,50,1,499,-1.94915913722649,0.461119876580165,FALSE,""
"w000258",60,50,1,499,-1.93394633711278,0.461119876580165,FALSE,""
"w000259",60,50,1,499,-0.332610426557362,0.461119876580165,FALSE,""
"w000260",60,50,1,499,0.0786447570827199,0.461119876580165,FALSE,""
"w000261",60,50,1,499,0.730102946799294,0.461119876580165,TRUE,""
"w000262",60,50,1,499,-1.78085723188932,0.461119876580165,FALSE,""
"w000263",60,50,1,499,-0.949484150203654,0.461119876580165,FALSE,""
"w000264",60,50,1,499,1.13562015566894,0.461119876580165,TRUE,""
"w000265",60,50,1,499,-1.69190690458661,0.461119876580165,FALSE,""
"w000266",60,50,1,499,-1.09230156649827,0.461119876580165,FALSE,""
"w000267",60,50,1,499,-1.54224383547381,0.461119876580165,FALSE,""
"w000268",60,50,1,499,-0.381493283161913,0.461119876580165,FALSE,""
"w000269",60,50,1,499,-1.72385965310668,0.461119876580165,FALSE,""
"w000270",60,50,1,499,-1.54622151582994,0.461119876580165,FALSE,""
"w000271",60,50,1,499,-1.34520340889527,0.461119876580165,FALSE,""
"w000272",60,50,1,499,-0.00354091234880749,0.461119876580165,FALSE,""
"w000273",60,50,1,499,-1.0862852741758,0.461119876580165,FALSE,""
"w000274",60,50,1,499,-3.05159169409246,0.461119876580165,FALSE,""
