date,symbol,name,open,high,low,close,volume,amount,amplitude,pct_change,change,turnover
2010-01-04,000637,茂化实华,9.78,9.89,9.66,9.82,62316,61036960.0,2.37,1.03,0.1,2.45
2010-01-05,000637,茂化实华,9.88,10.14,9.87,10.0,100955,101157560.0,2.75,1.83,0.18,3.96
2010-01-06,000637,茂化实华,10.0,10.09,9.81,9.82,58531,58140988.0,2.8,-1.8,-0.18,2.3
2010-01-07,000637,茂化实华,9.84,9.86,9.52,9.57,52265,50673560.0,3.46,-2.55,-0.25,2.05
2010-01-08,000637,茂化实华,9.58,9.82,9.56,9.8,51345,49937300.0,2.72,2.4,0.23,2.02
2010-01-11,000637,茂化实华,9.99,9.99,9.66,9.7,52674,51794052.0,3.37,-1.02,-0.1,2.07
2010-01-12,000637,茂化实华,9.75,10.11,9.7,10.04,104080,103978136.0,4.23,3.51,0.34,4.09
2010-01-13,000637,茂化实华,9.85,10.14,9.8,9.89,80045,79807704.0,3.39,-1.49,-0.15,3.14
2010-01-14,000637,茂化实华,9.94,10.16,9.81,10.16,93808,93631488.0,3.54,2.73,0.27,3.68
2010-01-15,000637,茂化实华,10.2,10.25,10.08,10.16,79977,81243872.0,1.67,0.0,0.0,3.14
2010-01-18,000637,茂化实华,10.19,10.24,10.07,10.19,70640,71811888.0,1.67,0.3,0.03,2.77
2010-01-19,000637,茂化实华,10.21,10.24,9.95,10.02,64613,65068052.0,2.85,-1.67,-0.17,2.54
2010-01-20,000637,茂化实华,10.03,10.06,9.62,9.65,64469,63313488.0,4.39,-3.69,-0.37,2.53
2010-01-21,000637,茂化实华,9.66,9.78,9.63,9.71,32370,31472468.0,1.55,0.62,0.06,1.27
2010-01-22,000637,茂化实华,9.6,9.82,9.35,9.55,38095,36429052.0,4.84,-1.65,-0.16,1.5
2010-01-25,000637,茂化实华,9.5,9.59,9.4,9.49,19947,18934716.0,1.99,-0.63,-0.06,0.78
2010-01-26,000637,茂化实华,9.49,9.56,9.12,9.25,26592,24686944.0,4.64,-2.53,-0.24,1.04
2010-01-27,000637,茂化实华,9.28,9.38,9.17,9.24,21567,19981108.0,2.27,-0.11,-0.01,0.85
2010-01-28,000637,茂化实华,9.24,9.27,9.09,9.11,32692,29950624.0,1.95,-1.41,-0.13,1.28
2010-01-29,000637,茂化实华,9.12,9.2,9.03,9.11,26222,23959942.0,1.87,0.0,0.0,1.03
2010-02-01,000637,茂化实华,9.09,9.14,8.71,8.79,31731,28114796.0,4.72,-3.51,-0.32,1.25
2010-02-02,000637,茂化实华,8.83,8.94,8.74,8.76,20010,17700628.0,2.28,-0.34,-0.03,0.79
2010-02-03,000637,茂化实华,8.81,8.91,8.5,8.9,25220,22133788.0,4.68,1.6,0.14,0.99
2010-02-04,000637,茂化实华,8.84,8.98,8.78,8.91,16679,14851075.0,2.25,0.11,0.01,0.65
2010-02-05,000637,茂化实华,8.79,8.86,8.6,8.74,21279,18519346.0,2.92,-1.91,-0.17,0.84
2010-02-08,000637,茂化实华,8.71,8.83,8.61,8.8,12747,11163378.0,2.52,0.69,0.06,0.5
2010-02-09,000637,茂化实华,8.81,8.87,8.78,8.8,10540,9296287.0,1.02,0.0,0.0,0.41
2010-02-10,000637,茂化实华,8.84,8.95,8.82,8.95,9443,8390108.0,1.48,1.7,0.15,0.37
2010-02-11,000637,茂化实华,8.9,8.97,8.9,8.95,12295,10995239.0,0.78,0.0,0.0,0.48
2010-02-12,000637,茂化实华,8.95,9.07,8.95,9.02,11714,10572536.0,1.34,0.78,0.07,0.46
2010-02-22,000637,茂化实华,9.02,9.05,8.9,8.96,13279,11919818.0,1.66,-0.67,-0.06,0.52
2010-02-23,000637,茂化实华,8.9,8.93,8.7,8.83,18278,16045019.0,2.57,-1.45,-0.13,0.72
2010-02-24,000637,茂化实华,8.8,9.03,8.72,9.03,18897,16817594.0,3.51,2.27,0.2,0.74
2010-02-25,000637,茂化实华,9.03,9.23,8.97,9.22,33780,30859924.0,2.88,2.1,0.19,1.33
2010-02-26,000637,茂化实华,9.21,9.21,9.08,9.17,20288,18570808.0,1.41,-0.54,-0.05,0.8
