date,symbol,name,open,high,low,close,volume,amount,amplitude,pct_change,change,turnover
2010-01-04,000633,合金投资,11.12,11.44,11.1,11.24,46029,51997984.0,3.06,1.26,0.14,2.51
2010-01-05,000633,合金投资,11.21,11.33,11.11,11.25,41219,46297648.0,1.96,0.09,0.01,2.25
2010-01-06,000633,合金投资,11.25,11.29,11.08,11.09,39963,44697552.0,1.87,-1.42,-0.16,2.18
2010-01-07,000633,合金投资,11.13,11.13,10.54,10.65,62416,67367056.0,5.32,-3.97,-0.44,3.41
2010-01-08,000633,合金投资,10.74,10.96,10.63,10.81,35892,38723516.0,3.1,1.5,0.16,1.96
2010-01-11,000633,合金投资,10.77,10.91,10.6,10.7,33426,35709496.0,2.87,-1.02,-0.11,1.82
2010-01-12,000633,合金投资,10.72,10.88,10.6,10.88,37987,40908780.0,2.62,1.68,0.18,2.07
2010-01-13,000633,合金投资,10.68,10.8,10.56,10.59,40552,43236608.0,2.21,-2.67,-0.29,2.21
2010-01-14,000633,合金投资,10.69,10.84,10.59,10.79,37571,40255836.0,2.36,1.89,0.2,2.05
2010-01-15,000633,合金投资,10.86,11.33,10.71,11.26,77216,86188296.0,5.75,4.36,0.47,4.22
2010-01-18,000633,合金投资,11.2,11.67,11.11,11.56,75178,86210880.0,4.97,2.66,0.3,4.1
2010-01-21,000633,合金投资,10.98,11.5,10.98,11.15,55612,61980124.0,4.5,-3.55,-0.41,3.04
2010-01-22,000633,合金投资,10.99,10.99,10.59,10.6,57335,61172632.0,3.59,-4.93,-0.55,3.13
2010-01-25,000633,合金投资,10.38,10.45,10.07,10.07,63806,64633368.0,3.58,-5.0,-0.53,3.48
2010-01-26,000633,合金投资,10.0,10.0,9.57,9.57,50417,48601408.0,4.27,-4.97,-0.5,2.75
2010-01-27,000633,合金投资,9.41,9.46,9.1,9.12,46234,42615608.0,3.76,-4.7,-0.45,2.52
2010-01-28,000633,合金投资,9.15,9.32,9.1,9.22,26226,24221166.0,2.41,1.1,0.1,1.43
2010-01-29,000633,合金投资,9.19,9.39,8.91,9.25,34883,32054862.0,5.21,0.33,0.03,1.9
2010-02-01,000633,合金投资,9.21,9.71,9.02,9.71,51804,48462616.0,7.46,4.97,0.46,2.83
2010-02-02,000633,合金投资,9.75,9.85,9.42,9.43,37346,36044072.0,4.43,-2.88,-0.28,2.04
2010-02-03,000633,合金投资,9.42,9.7,9.01,9.67,45215,42448108.0,7.32,2.55,0.24,2.47
2010-02-04,000633,合金投资,9.5,9.68,9.41,9.49,26368,25148462.0,2.79,-1.86,-0.18,1.44
2010-02-05,000633,合金投资,9.27,9.35,9.08,9.17,23905,21987238.0,2.85,-3.37,-0.32,1.3
2010-02-08,000633,合金投资,9.15,9.34,9.03,9.19,20383,18663422.0,3.38,0.22,0.02,1.11
2010-02-09,000633,合金投资,9.19,9.25,9.12,9.16,14697,13481469.0,1.41,-0.33,-0.03,0.8
2010-02-10,000633,合金投资,9.26,9.54,9.17,9.4,30508,28622126.0,4.04,2.62,0.24,1.67
2010-02-11,000633,合金投资,9.34,9.58,9.34,9.5,23579,22297282.0,2.55,1.06,0.1,1.29
2010-02-12,000633,合金投资,9.5,9.68,9.45,9.55,21414,20469556.0,2.42,0.53,0.05,1.17
2010-02-22,000633,合金投资,9.5,9.58,9.38,9.38,22529,21378394.0,2.09,-1.78,-0.17,1.23
2010-02-23,000633,合金投资,9.36,9.47,9.21,9.3,19743,18423220.0,2.77,-0.85,-0.08,1.08
2010-02-24,000633,合金投资,9.3,9.77,9.24,9.77,67014,64973476.0,5.7,5.05,0.47,3.66
2010-02-25,000633,合金投资,9.77,9.88,9.63,9.78,56863,55662956.0,2.56,0.1,0.01,3.1
2010-02-26,000633,合金投资,9.71,10.15,9.71,9.97,50208,49882636.0,4.5,1.94,0.19,2.74
2010-03-01,000633,合金投资,10.04,10.07,9.88,9.97,37824,37642684.0,1.91,0.0,0.0,2.06
2010-03-02,000633,合金投资,9.96,10.05,9.88,9.93,35415,35229156.0,1.71,-0.4,-0.04,1.93
2010-03-03,000633,合金投资,9.97,10.38,9.86,10.22,46176,47173176.0,5.24,2.92,0.29,2.52
2010-03-04,000633,合金投资,10.24,10.49,9.89,10.0,52161,53517792.0,5.87,-2.15,-0.22,2.85
2010-03-05,000633,合金投资,10.07,10.15,9.85,9.94,32078,32013340.0,3.0,-0.6,-0.06,1.75
2010-03-08,000633,合金投资,9.94,10.1,9.9,9.92,26408,26398384.0,2.01,-0.2,-0.02,1.44
2010-03-09,000633,合金投资,9.99,10.14,9.87,9.99,22098,22114014.0,2.72,0.71,0.07,1.21
2010-03-10,000633,合金投资,10.05,10.08,9.8,9.87,20654,20485896.0,2.8,-1.2,-0.12,1.13
