stock_id,date,close,has_structural_window,num_confirmed_extrema,starts_high,high1,high2,low1,low2,range_pct,expansion,structure_dir,range_pos,upper_break,lower_break,move_age,extrema_freq,speed_imbalance,speed_level,valid_manual_state,range_pct_group,expansion_group,structure_dir_group,range_pos_group,upper_break_group,lower_break_group,move_age_group,extrema_freq_group,speed_imbalance_group,speed_level_group,state_label,sample_type,sample_name,window_id,range_pct_score,expansion_score,structure_dir_score,range_pos_score,upper_break_score,lower_break_score,move_age_score,extrema_freq_score,speed_imbalance_score,speed_level_score
000017,2010-11-12,1.763017000362401,True,24,0.0,1.8164520818184269,1.860974538249528,1.728109442151599,1.747459210331475,0.1328650960979289,0.0251726882512253,0.0638722246109773,0.2627293340086341,0.0,0.0,0.6666666666666666,0.2666666666666666,0.0022884262046568,0.0058065658737252,True,low,mid,high,low,low,low,low,mid,high,mid,other,state_quantile,range_pct_low,w000001,-0.7025730283517682,0.17817298574721274,0.24138069301850162,-0.08968384288759579,-1.0,-1.0,-0.6218672138355563,-0.56,0.05928415397681275,-0.5629777751424793
000415,2019-11-20,1.2383742310432684,True,279,0.0,1.4011829736136412,1.3480731482996928,1.2584609896100056,1.2837077723447896,0.1427219840036355,-0.0783566080487323,-0.0278630425791643,-0.1407404662075436,0.0,1.0,4.25,0.3076923076923077,0.0032070839701628,0.0074148810926268,True,low,low,mid,low,low,high,high,high,high,mid,lower_breakdown,state_quantile,range_pct_low,w000002,-0.7329332820742405,-0.6837435953294382,0.2576973968125911,-0.2959543805514423,-1.0,1.0,0.7177063808442674,-0.05166229581455806,0.453832551051635,-0.7820680998205157
000155,2012-09-04,1.3001916620664788,True,93,1.0,1.2556160374777745,1.3056264580524355,1.1786549963416462,1.2029723039923526,0.1269714617107895,0.025693112923955,0.0743277282253678,0.9571967124523144,0.0,0.0,0.6666666666666666,0.3636363636363636,0.0052954066394386,0.0113747335521152,True,low,mid,high,high,low,low,low,high,high,mid,up_structure_high_pos,state_quantile,range_pct_low,w000003,-0.7217289940944033,0.1752019588271625,0.6349311484777262,0.7399952758879318,-1.0,-1.0,-0.7863177977650584,0.11821749928461167,0.5967249664831906,-0.2180714381308111
000415,2021-12-20,1.0402767116551463,True,359,0.0,1.091923300517313,1.1505720275988207,1.0188473201992472,1.0260415958332745,0.1317247073995735,0.0514544514474806,0.0658430027155347,0.1626831585276958,0.0,1.0,3.7142857142857135,0.5,0.0183505297548313,0.0207486216328404,True,low,high,high,low,low,high,high,high,high,high,fast_chop,state_quantile,range_pct_low,w000004,-0.6129553359795359,0.17363163336539467,0.5549391301168658,0.1117050757926672,-1.0,1.0,0.6326530612244898,1.0,1.0,1.0
000066,2012-06-01,1.5282278570085572,True,91,0.0,1.62924053973028,1.6054298910365616,1.5040773967762742,1.547562508716013,0.1251631429540058,-0.0672957606334572,0.0196744632460204,0.1929518519773645,0.0,1.0,2.769230769230769,0.1818181818181818,7.732362406554687e-05,0.005875338549364,True,low,low,mid,low,low,high,high,mid,mid,mid,lower_breakdown,state_quantile,range_pct_low,w000005,-0.9476275542813422,-0.5072102780393734,0.6041840213732244,-0.3038999016648435,-1.0,1.0,0.1836215039632021,-0.7902097902097902,-0.3211344665795891,-0.967944547065511
000001,2023-04-10,2.54002594900908,True,384,0.0,2.6616571615325,2.67000213346468,2.5974910105351463,2.6108048166633746,0.0725111229295336,-0.0049688341960481,0.0216587780604085,-0.792499953171476,0.0,1.0,3.466666666666667,0.4444444444444444,-0.0002329779175965,0.0035709666904686,True,low,mid,mid,low,low,high,high,high,mid,low,slow_extension,state_quantile,range_pct_low,w000006,-1.0,-0.008374492243002463,-0.07282455768093743,-1.0,-1.0,1.0,1.0,1.0,0.053516840983930614,-0.7770378904310403
000402,2013-12-03,1.6389967146756448,True,112,0.0,1.724550719534605,1.665818245870208,1.673351238177753,1.5933085305042167,0.1312421890303883,0.0213102340091393,-0.1387751813379334,0.3481211682689112,0.0,0.0,0.4,0.1025641025641025,-0.0011727292149611,0.0043474575211447,True,low,mid,low,mid,low,low,low,low,mid,low,other,state_quantile,range_pct_low,w000007,-0.4425235763402874,0.2868703100550245,-0.6912314268002608,0.11535140892104012,-1.0,-1.0,-0.945498180692111,-0.9378399378399379,-0.3615207242259383,-0.5731756772603921
000026,2012-07-04,2.394252281519869,True,88,1.0,2.425687290128029,2.410542234499138,2.327277705584417,2.3045830956567186,0.1211041944713104,0.0075495542988073,-0.0378396655565898,0.7404300590463317,1.0,0.0,0.8888888888888888,0.2,-0.0005143942549847,0.0032680407329649,True,low,mid,mid,high,high,low,mid,mid,mid,low,upper_breakout,state_quantile,range_pct_low,w000008,-0.8912186089454031,-0.03140583906406558,-0.257681052513826,0.5142343496154782,1.0,-1.0,-0.7066552588156207,-0.6333333333333333,-0.06200679606546655,-0.9401317829000582
000059,2019-02-20,1.8325814637483104,True,311,1.0,1.8484548129046,1.8115620965242347,1.754403682684286,1.7369512327330598,0.1115035801715402,-0.019440266429139,-0.0543451663315917,0.8576426951325697,1.0,0.0,1.2941176470588236,0.1052631578947368,0.0003397821999631,0.0023930116059898,True,low,mid,mid,high,high,low,mid,low,mid,low,upper_breakout,state_quantile,range_pct_low,w000009,-0.7979145122063446,-0.09725451223802573,-0.19665864646882203,0.6036152396215786,1.0,-1.0,-0.44313725490196076,-0.8971848225214198,0.08779318169890216,-0.9758083345503159
000031,2014-01-07,1.264126727145683,True,132,0.0,1.396244691973059,1.4350845252893227,1.3137236682850553,1.3376291891386096,0.1213608570042674,0.0149343124627097,0.0627453541698184,-0.408673293544954,0.0,1.0,5.0,0.3333333333333333,0.0028923786328808,0.0082047166003374,True,low,mid,high,low,low,high,high,high,high,mid,lower_breakdown,state_quantile,range_pct_low,w000010,-0.6161078902633219,0.12401971844616533,0.618091496459563,-0.8808601239128546,-1.0,1.0,1.0,0.37142857142857144,0.2995697317187622,-0.20442230282165152
000034,2023-01-12,3.164630810015805,True,426,1.0,3.1441522786722644,3.18924101973851,3.058237478905388,3.102791345847399,0.131003540833122,0.0005348741242343,0.0896426080082566,0.812140881336524,0.0,0.0,0.6666666666666666,0.4444444444444444,0.0011499520431345,0.0138796283122806,True,low,mid,high,high,low,low,low,high,mid,high,up_structure_high_pos,state_quantile,range_pct_low,w000011,-0.7828005572328123,0.0692025018515059,0.3315621758803762,0.40763026351313814,-1.0,-1.0,-0.7956204379562044,0.19999999999999996,0.00242406084114144,-0.4492731698358763
000034,2013-05-09,1.383791230901772,True,100,1.0,1.4422019930581866,1.3737155789130306,1.308332819650179,1.332366019094335,0.1338691734080077,-0.092519613589312,-0.0444532147009999,0.5636727958393407,1.0,0.0,1.8,0.25,-0.0002408789458208,0.0093724008318416,True,low,low,mid,mid,high,low,high,mid,mid,mid,other,state_quantile,range_pct_low,w000012,-0.6632530727680971,-0.6673330422003393,-0.0970292359166729,0.27822492555031664,1.0,-1.0,-0.2244475138121549,-0.39655172413793094,-0.2831667317990173,-0.537070987983296
000089,2019-02-25,2.306577114263583,True,229,1.0,2.0955609235597192,2.089391872533004,2.030776369698555,2.0162354657760435,0.0793254577836757,0.0083718528957961,-0.0207099549492264,3.660132025702453,1.0,0.0,3.263157894736842,0.1212121212121212,1.5572851292664554e-06,0.0011200883560916,True,low,mid,mid,high,high,low,high,low,mid,low,slow_extension,state_quantile,range_pct_low,w000013,-1.0,0.053141227919439205,-0.09548048956516675,1.0,1.0,-1.0,0.1723461577481955,-0.7436413797173291,0.1535801644864394,-0.9866251444358317
000421,2026-04-15,1.80005827204275,True,544,0.0,1.935859813201812,1.8794650496471603,1.8421356765531216,1.8373699804801076,0.0984898327217045,-0.0516290674816368,-0.0611604596276658,-0.37883817452291,0.0,1.0,0.8571428571428571,0.4,0.0107494309250397,0.0118084744968207,True,low,low,low,low,low,high,mid,high,high,mid,down_structure_low_pos,state_quantile,range_pct_low,w000015,-0.9875494121731715,-0.23901350952378375,-0.3488957764338664,-1.0,-1.0,1.0,-0.759686547670875,0.08571428571428608,0.25760116851967263,-0.6574342501668671
000088,2024-12-06,1.62924053973028,True,439,0.0,1.6467336971777973,1.667706820558076,1.5496879080283263,1.574846467664481,0.1180189125297497,-0.0041854362558761,0.0461316830164337,0.6740668084185271,0.0,0.0,0.64,0.1481481481481481,0.000780123372607,0.0027153971907727,True,low,mid,high,high,low,low,low,low,mid,low,up_structure_high_pos,state_quantile,range_pct_low,w000016,-0.6693672617386157,-0.008289572977596138,0.39335943545685215,0.5584255124369792,-1.0,-1.0,-0.8494387915661386,-0.612751992498828,-0.4173203066440986,-0.678280076264046
000069,2023-02-28,1.6695918352538477,True,454,0.0,1.7263316639055997,1.6992786164338898,1.6351056591826785,1.6505798557652755,0.0912260047229214,-0.0425272440543071,-0.0115788508891125,0.3780301042001484,0.0,0.0,0.4,0.2352941176470588,0.0026743982533411,0.005055043881433,True,low,low,mid,mid,low,low,low,mid,high,low,other,state_quantile,range_pct_low,w000017,-0.9073540010561475,-0.2249332695862446,-0.1613465210842131,-0.007033183380402486,-1.0,-1.0,-0.9006211180124224,-0.05882352941176483,0.3738280356219521,-0.7884334325681166
